kohl_product_id,amazon_product_ID,week_nmb,TCIN,Extraction_Date,kohl_product_name,kohl_Regular_price,kohl_Shipping,kohl_disc_perc,kohl_markdown_price,kohl_final_price,kohl_Product_Description,kohl_availability,kohl_additional_info,kohl_price_promo,amazon_product_name,amazon_Regular_price,amazon_Shipping,amazon_disc_perc,amazon_markdown_price,amazon_final_price,amazon_Product_Description,amazon_availability,amazon_additional_info,amazon_price_promo,Target_product_ID,Target_product_name,Target_Regular_price,Target_Shipping,Target_disc_perc,Target_markdown_price,Target_final_price,Target_Product_Description,Target_availability,Target_additional_info,Target_price_promo,kohl_availability_flag,amazon_availability_flag,Target_availability_flag,kohl_pdt_desc_length,Amz_pdt_desc_length,Target_pdt_desc_length,Price_diff_amazon_final_pr,Price_diff_target_final_pr,Price_diff_amazon_reg_pr,Price_diff_target_reg_pr,Price_rat_amazon_final_pr,Price_rat_target_final_pr,Price_rat_amazon_reg_pr,Price_rat_target_reg_pr,Availability,firstDate,lastDate,Recency_week,Recency_month,TCIN_var,max_tcin_price,min_tcin_price,gross_sales,net_Sales,Amz_rating1,Amz_rating2,Amz_rating3,Amz_rating4,Amz_rating5,Amz_Review_count,Amz_Avg_rating,Amz_Avg_helpful_votes,Amz_cal_avg_score,amz_rating_4_5,amz_rating_4_5_cnt,amz_rating_1_2,amz_rating_1_2_cnt,rating1_cnt,rating5_cnt,Avg_sentiment_score,Total_sentiment_score,Amz_Avg_Positive_sent_score,Amz_Total_Positive_sent_score,Amz_Avg_negative_sent_score,Amz_Total_negative_sent_score,reviews_1_M,reviews_2_M,reviews_3_M,reviews_6_M,Avg_wt_score,Tot_wt_score,pos_avg_wt_score,Pos_tot_wt_score,Neg_avg_wt_score,Neg_tot_wt_score,Amz_No_of_images,Amz_Not_User_Gen_images,Amz_User_Generated_images,kohls_Number_of_images
1130483,B007WU4S40,1,14107330,03-12-2012,Wildkin Horse Serious Backpack - Kids,67.99,0,0,0,67.99,"This cute Wildkin backpack seriously does it all. She can stow a 15-in. laptop in the padded compartment, strap her lunch bag to the front with the carabiner and listen to her MP3 player using the media pocket and headphones port. Complete with a whimsical horse print, this girls' backpack is a fun school essential. In pink/multi.",Yes,n/a,n/a,Wildkin Horses in Pink Serious Backpack,45.41,0,0,45.41,45.41,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $14.58 (24%),14107330,Wildkin Horses Serious Backpack - Pink,45.49,0,0,0,45.49,Wildkin Horses Serious Backpack - Pink,Yes,n/a,n/a,1,1,1,332,3,38,22.58,22.5,22.58,22.5,1.497247302,1.494614201,1.497247302,1.494614201,1,03-12-2012,02-09-2013,59,13,1,67.99,67.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,34,0,NA
1130487,B007WU48MC,1,14107219,03-12-2012,Wildkin Camo Serious Backpack - Kids,67.99,0,0,0,67.99,"This cool Wildkin backpack seriously does it all. He can stow a 15-in. laptop in the padded compartment, strap his lunch bag to the front with the carabiner and listen to his MP3 player using the media pocket and headphones port. Complete with a colorful camo print, this backpack is a fun school essential. In blue/white/black.",Yes,n/a,n/a,Wildkin Blue Camo Serious Backpack,45.41,0,0,45.41,45.41,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $14.58 (24%),14107219,Wildkin Camo Serious Backpack - Blue,45.49,0,0,0,45.49,Wildkin Camo Serious Backpack - Blue,Yes,n/a,n/a,1,1,1,328,3,36,22.58,22.5,22.58,22.5,1.497247302,1.494614201,1.497247302,1.494614201,1,03-12-2012,08-07-2013,59,13,1,67.99,67.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,59,0,1
1130488,B007WU58DK,1,14107212,03-12-2012,Wildkin Leopard Serious Backpack - Kids,67.99,0,0,0,67.99,"This exotic Wildkin backpack seriously does it all. She can stow a 15-in. laptop in the padded compartment, strap her lunch bag to the front with the carabiner and listen to her MP3 player using the media pocket and headphones port. Complete with an exciting leopard print, this girls' backpack is a fun school essential. In pink/black.",Yes,n/a,n/a,Wildkin Pink Leopard Serious Backpack,41.99,0,0,41.99,41.99,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $18.00 (30%),14107212,Wildkin Leopard Serious Backpack - Pink,45.49,0,0,0,45.49,Wildkin Leopard Serious Backpack - Pink,Yes,n/a,n/a,1,1,1,336,3,39,26,22.5,26,22.5,1.619195046,1.494614201,1.619195046,1.494614201,1,03-12-2012,02-09-2013,59,13,1,67.99,67.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,59,0,1
1130492,B007WU5KFG,1,14107200,03-12-2012,Wildkin Serious Backpack - Kids,67.99,0,0,0,67.99,"This kids' Wildkin backpack seriously does it all. Your little one can stow a 15-in. laptop in the padded compartment, strap a lunch bag to the front with the carabiner and listen to an MP3 player using the media pocket and headphones port.",Yes,n/a,n/a,Wildkin Whale Blue Serious Backpack,37.76,0,0,37.76,37.76,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $22.23 (37%),14107200,Wildkin Serious Backpack - Whale Blue,37.79,0,0,0,37.79,Wildkin Serious Backpack - Whale Blue,Yes,n/a,n/a,1,1,1,240,3,37,30.23,30.2,30.23,30.2,1.800582627,1.799153215,1.800582627,1.799153215,1,03-12-2012,08-07-2013,59,13,1,67.99,67.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,34,0,2
1130531,NA,1,14107536,03-12-2012,Wildkin Horse Crackerjack Backpack - Kids,36.99,0,0,0,36.99,"She'll feel wild and free with this Wildkin backpack. From the roomy main compartment to the organizer front pocket with pouches and a pencil holder, this girls' backpack is a school essential. Plus, the horse print adds whimsical style. In pink/multi.",Yes,n/a,n/a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14107536,Wildkin Horses Crackerjack Backpack - Pink,27.39,0,0,0,27.39,Wildkin Horses Crackerjack Backpack - Pink,Yes,n/a,n/a,1,0,1,252,2,42,NA,9.6,NA,9.6,NA,1.350492881,NA,1.350492881,1,03-12-2012,02-09-2013,59,13,1,36.99,36.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1130538,B007WU44HG,1,14107227,03-12-2012,Wildkin Big Dots Crackerjack Backpack - Kids,36.99,0,0,0,36.99,"A brilliant backpack by Wildkin. From the roomy main compartment to the organizer front pocket with pouches and a pencil holder, this kids' backpack is a school essential. Plus, the dot print is bold and eye-catching.",Yes,n/a,n/a,Wildkin Big Dots Aqua Crackerjack Backpack,26.74,0,0,26.74,26.74,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $5.25 (16%),14107227,Wildkin Big Dots Aqua Crackerjack Backpack - Blue/ Purple,27.59,0,0,0,27.59,Wildkin Big Dots Aqua Crackerjack Backpack - Blue/ Purple,Yes,n/a,n/a,1,1,1,217,3,57,10.25,9.4,10.25,9.4,1.383320868,1.340703153,1.383320868,1.340703153,1,03-12-2012,08-07-2013,59,13,1,36.99,36.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,0,6
1194325,B004YF9BX4,1,13618420,03-12-2012,McKlein Verona 15.4-in. Laptop Briefcase,189.99,0,0.050002632,180.49,180.49,A work bag that works. This women's McKlein Verona briefcase will keep your things together. Shop our full selection of luggage at Kohls.com.,Yes,n/a,n/a,McKlein USA Verona - Ladies' Fly-Through Checkpoint-Friendly Laptop Briefcase,110.76,0,0,110.76,110.76,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $69.24 (38%),13618420,McKlein Ladies Leather Checkpoint-Friendly Case - Red,144,0,0,0,144,"This red leather checkpoint-friendly case by McKlein is the perfect accessory for air travelers. The adjustable strap makes sure the bag stays comfortable while carried, and the zip closure keeps your accessories tucked safely inside.",Yes,n/a,n/a,1,1,1,141,3,234,69.73,36.49,79.23,45.99,1.629559408,1.253402778,1.715330444,1.319375,1,03-12-2012,02-09-2013,59,13,1,180.49,180.49,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,26,0,18
565916,B001I3JIQA,1,11457902,03-12-2012,Leatherbay Mini Backpack,129.95,0,0.050019238,123.45,123.45,On-the-go organization. This mini backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other Leatherbay mini backpacks to find your favorite color.,Yes,n/a,n/a,Leatherbay Leather Mini Backpack,98.97,0,0,98.97,98.97,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $45.98 (32%),11457902,Leatherbay Leather Mini Backpack - Black,144.95,0,0,0,144.95,Leatherbay Leather Mini Backpack - Black,Yes,n/a,n/a,1,1,1,169,3,40,24.48,-21.5,30.98,-15,1.247347681,0.851672991,1.313024149,0.89651604,1,03-12-2012,02-09-2013,59,13,1,123.45,123.45,2,2,0,0,0,1,2,3,4.666666667,3,1,3,1,0,0,0,0.666666667,3.666666667,11,3.666666667,11,0,0,1,1,1,1,3.666666667,11,3.666666667,11,0,0,6,6,0,NA
1054896,B001PE3HKK,2,11457967,10-12-2012,Leatherbay Shopping Tote,135.95,0,0.100036778,122.35,122.35,On the go? This shopping tote is ideal for everyday use. Shop Kohls.com for other Leatherbay shopping totes to find your favorite color.,Yes,n/a,n/a,Leatherbay Shopping Leather Tote,98.93,0,0,98.93,98.93,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $51.02 (34%),13220881,Luigi Bormioli Porcelain & Slate 7-pc. Condiment Set,54.59,0,0,0,54.59,Unique and fun combination of slate and porcelain. Great for entertaining! Set includes 3 condiment bowls with 3 spoons. The bowls sit on a beautiful slate serving tray. Porcelain bowls are dishwasher safe.,Yes,n/a,n/a,1,1,1,136,3,206,23.42,67.76,37.02,81.36,1.236733044,2.241252977,1.374203983,2.490382854,1,10-12-2012,08-07-2013,58,13,1,122.35,122.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,0,1
1054902,B001I3P75G,2,11457892,10-12-2012,Leatherbay Pockets Backpack,269.95,0,0.100018522,242.95,242.95,Pack and go. This backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other Leatherbay pockets backpack to find your favorite color.,Yes,n/a,n/a,Leatherbay Leather Backpack with Pockets,186.53,0,0,186.53,186.53,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $108.42 (37%),11457892,Leatherbay Leather Backpack With Pockets - Black,294.95,0,0,0,294.95,Leatherbay Leather Backpack With Pockets - Black,Yes,n/a,n/a,1,1,1,155,3,48,56.42,-52,83.42,-25,1.302471452,0.823698932,1.447220286,0.915239871,1,03-12-2012,02-09-2013,59,13,1,242.95,242.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,1
1056014,B001J9Q3QQ,2,11457891,10-12-2012,Leatherbay Laptop Backpack,299.95,0,0.100016669,269.95,269.95,Pack and go. This laptop backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other Leatherbay laptop backpacks to find your favorite color.,Yes,n/a,n/a,Leatherbay Laptop Leather Backpack,203.6,0,0,203.6,203.6,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $126.35 (38%),11457891,Leatherbay Leather Laptop Backpack - Black,329.95,0,0,0,329.95,Leatherbay Leather Laptop Backpack - Black,Yes,n/a,n/a,1,1,1,162,3,42,66.35,-60,96.35,-30,1.325884086,0.818154266,1.473231827,0.909077133,1,03-12-2012,02-09-2013,59,13,1,269.95,269.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,2
1056017,B001I3N9GA,2,11457894,10-12-2012,Leatherbay Mini Backpack,129.95,0,0.100038476,116.95,116.95,On-the-go organization. This mini backpack was designed with your busy lifestyle in mind. Shop Kohls.com for other Leatherbay mini backpacks to find your favorite color.,Yes,n/a,n/a,Leatherbay Leather Mini Backpack,96.88,0,0,96.88,96.88,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $48.07 (33%),11457894,Leatherbay Leather Mini Backpack - English Tan,144.95,0,0,0,144.95,Leatherbay Leather Mini Backpack - English Tan,Yes,n/a,n/a,1,1,1,169,3,46,20.07,-28,33.07,-15,1.207163501,0.806829941,1.341350124,0.89651604,1,03-12-2012,08-07-2013,59,13,1,116.95,116.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0,1
1130083,B0065QXMTY,2,14107208,10-12-2012,Wildkin Sidekick Backpack - Kids,34.99,0,0,0,34.99,"This Wildkin backpack is the perfect sidekick for school. With interior pockets, a pencil holder and two zippered compartments, this kids' backpack is a studying necessity.",Yes,n/a,n/a,Wildkin Fern Green Sidekick Backpack,25.18,0,0,25.18,25.18,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $4.81 (16%),14107208,Wildkin Sidekick Backpack - Cardinal Red,25.29,0,0,0,25.29,Wildkin Sidekick Backpack - Cardinal Red,Yes,n/a,n/a,1,1,1,172,3,40,9.81,9.7,9.81,9.7,1.389594917,1.383550811,1.389594917,1.383550811,1,03-12-2012,08-07-2013,59,13,2,34.99,34.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,0,1
1130229,B007W4MNHK,2,14107192,10-12-2012,Wildkin Owl Macropack Backpack - Kids,42.99,0,0,0,42.99,"This Wildkin backpack is a wise choice. With a spacious design, interior pockets and a mesh enclosure, this owl backpack keeps your little one's essentials organized. Whether going on a family trip or walking to school, this sweet backpack ensures your child will have a hoot. In pink/white/multi.",Yes,n/a,n/a,Wildkin Owls Macropak Backpack,34.45,0,0,34.45,34.45,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $5.54 (14%),14107192,Wildkin Owls Macropak Backpack - Pink,35.29,0,0,0,35.29,Wildkin Owls Macropak Backpack - Pink,Yes,n/a,n/a,1,1,1,297,3,37,8.54,7.7,8.54,7.7,1.247895501,1.218192122,1.247895501,1.218192122,1,03-12-2012,08-07-2013,59,13,1,42.99,42.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,0,1
