prod_id,Unit_sales,L_unitsales,Review_all,search,SocialSignal_all,Backlinks_all
640690000,1,0,497,396110,1253,102
632309000,1,0,6,5710,7,4
656135000,1,0,4,16460,0,3
605360000,1,0,4,630,2,0
601624000,1,0,1,1250,0,0
629216000,1,0,0,0,0,0
633217000,1,0,0,96280,4,1
651639000,0,0,7,13600,1,1
679892000,0,0,4,0,1,0
605359000,0,0,3,630,0,1
633214000,0,0,1,1570,0,0
621086000,0,0,1,350,0,1
604254000,0,0,1,18980,5,6
666478000,0,0,0,160,0,0
629215000,0,0,0,0,0,0
683122000,0,0,0,290,0,0
674805000,0,0,0,13260,0,0
645386000,0,0,0,800,0,0
638527000,0,0,0,0,0,0
633884000,0,0,0,116710,0,0
629186000,0,0,0,0,0,0
637361000,0,0,0,9320,0,0
667429000,0,0,0,430,0,0
666473000,0,0,0,190,0,0
666474000,0,0,0,780,0,0
006CO79469412B,0,0,0,3370,0,0
006CO79470312B,0,0,0,4170,0,0
