UgamID	Category_Path	Retailer	Division	Category	Department	Class	Subclass	Product_URL	Brand	Product_Name	Unique_Product_Identifier_Mainproduct	Unique_Product_Identifier_Variant	Final_Price_after_Discount	Extraction_Date	Review:Link	Review:Header	Review:Creation_Date	Review:From	Review:By	Review:Helpful_Votes	Review:Total_Votes	Review:Rating_Score	Review:Rating_Scale	Review:Reviewers_Badges	Review_Text	Review:Count_Of_Comments	Review:Verified_Purchase	Reviewer_Age	Reviewer_Gender	Review_Count	Product_reviews
LGKR0016	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1130258/wildkin-olive-kids-paisley-pack-n-snack-backpack-kids.jsp	n/a	n/a	1130258	1130258	n/a	2013-12-02 18:45:05	http://reviews.kohls.com/9025/1130258/reviews.htm?format=embedded	Beautiful Backpack!	10/12/2012	D.C.	AutumnGrace	0	0	5	5	n/a	This backpack is sooo cute. It is large enough to hold my daughter's lunch box, extra change of clothes and her school projects. We both love it!	n/a	n/a	35-44	n/a	1	1
LGKR0189	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1130263/wildkin-kickstart-messenger-bag-kids.jsp	Wildkin	Wildkin Kickstart Messenger Bag - Kids	1130263	1130263	34.99	2013-12-02 18:45:20	http://reviews.kohls.com/9025/1130263/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0018	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1130297/wildkin-ball-n-all-sports-backpack-kids.jsp?searchTerm=Wildkin%20Sports%20Backpack	Wildkin	Wildkin Ball 'n' All Sports Backpack - Kids	1130297	1130297	44.99	2013-12-02 18:45:20	http://reviews.kohls.com/9025/1130297/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0193	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1130492/wildkin-serious-backpack-kids.jsp?searchTerm=Wildkin%20Serious%20Backpack%20-%20Red	Wildkin	Wildkin Serious Backpack - Kids	1130492	1130492	67.99	2013-12-02 18:45:35	http://reviews.kohls.com/9025/1130492/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0192	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1130490/wildkin-snake-serious-backpack-kids.jsp	Wildkin	Wildkin Snake Serious Backpack - Kids	1130490	1130490	67.99	2013-12-02 18:45:35	http://reviews.kohls.com/9025/1130490/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0024	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1130492/wildkin-serious-backpack-kids.jsp	Wildkin	Wildkin Serious Backpack - Kids	1130492	1130492	67.99	2013-12-02 18:45:35	http://reviews.kohls.com/9025/1130492/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0026	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1130507/wildkin-camo-jumpstart-messenger-bag-kids.jsp	Wildkin	Wildkin Camo Jumpstart Messenger Bag - Kids	1130507	1130507	36.99	2013-12-02 18:45:53	http://reviews.kohls.com/9025/1130507/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0023	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1130488/wildkin-leopard-serious-backpack-kids.jsp?searchTerm=Wildkin%20Leopard%20Serious%20Backpack	Wildkin	Wildkin Leopard Serious Backpack - Kids	1130488	1130488	67.99	2013-12-02 18:45:35	http://reviews.kohls.com/9025/1130488/reviews.htm?format=embedded	Worst piece of junk ever!!!	05/31/2013	Ramsey	OMGNOTHAPPY	1	2	1	5	n/a	I would give this zero stars if I could. I purchased this over priced back pack for my 7 year old daughter. She used it less than a week and the entire zipper ripped off of the back pack. I exchanged it for a new one thinking that the 1st one might have just been defective. Well the second one ripped in just 2 days the exact same way in the exact same place. DO NOT purchase this unless you want to run back to Kohls several times.	1	n/a	25-34	n/a	1	1
LGKR0199	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1130509/wildkin-snake-jumpstart-messenger-bag-kids.jsp	Wildkin	Wildkin Snake Jumpstart Messenger Bag - Kids	1130509	1130509	36.99	2013-12-02 18:45:53	http://reviews.kohls.com/9025/1130509/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0198	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1130508/wildkin-leopard-jumpstart-messenger-bag-kids.jsp?searchTerm=Wildkin%20Leopard%20Messenger%20Backpack%20-%20Pink	Wildkin	Wildkin Leopard Jumpstart Messenger Bag - Kids	1130508	1130508	36.99	2013-12-02 18:45:53	http://reviews.kohls.com/9025/1130508/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0025	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1130506/wildkin-big-dots-jumpstart-messenger-bag-kids.jsp	Wildkin	Wildkin Big Dots Jumpstart Messenger Bag - Kids	1130506	1130506	36.99	2013-12-02 18:45:53	http://reviews.kohls.com/9025/1130506/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0029	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1130538/wildkin-big-dots-crackerjack-backpack-kids.jsp?searchTerm=Wildkin%20Big%20Dots%20Aqua%20Crackerjack%20Backpack	Wildkin	Wildkin Big Dots Crackerjack Backpack - Kids	1130538	1130538	36.99	2013-12-02 18:46:06	http://reviews.kohls.com/9025/1130538/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0204	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1130539/wildkin-camo-crackerjack-backpack-kids.jsp	Wildkin	Wildkin Camo Crackerjack Backpack - Kids	1130539	1130539	36.99	2013-12-02 18:46:06	http://reviews.kohls.com/9025/1130539/reviews.htm?format=embedded	Nice backpack!	09/22/2012	Cloverdale	Shellyp	0	0	3	5	n/a	Nice print and ok quality. Not a super huge Pak so it would be better for younger children.	n/a	n/a	35-44	n/a	1	1
LGKR0028	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1130538/wildkin-big-dots-crackerjack-backpack-kids.jsp	Wildkin	Wildkin Big Dots Crackerjack Backpack - Kids	1130538	1130538	36.99	2013-12-02 18:46:06	http://reviews.kohls.com/9025/1130538/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0203	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1130537/wildkin-majestic-crackerjack-backpack-kids.jsp	Wildkin	Wildkin Majestic Crackerjack Backpack - Kids	1130537	1130537	36.99	2013-12-02 18:46:06	http://reviews.kohls.com/9025/1130537/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0035	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1194346/mcklein-avon-154-in-laptop-briefcase.jsp	McKlein	McKlein Avon 15.4-in. Laptop Briefcase	1194346	1194346	189.99	2013-12-02 18:46:19	http://reviews.kohls.com/9025/1194346/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0033	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1194320/mcklein-alexis-154-in-laptop-briefcase.jsp	McKlein	McKlein Alexis 15.4-in. Laptop Briefcase	1194320	1194320	189.99	2013-12-02 18:46:19	http://reviews.kohls.com/9025/1194320/reviews.htm?format=embedded	poor quality	03/07/2013	Indiana	RamblingRose	0	0	2	5	n/a	I bought this for my daughter, who wanted something more feminine than a standard briefcase. She like the design of it, with plenty of pockets and dividers, but the actual construction was badly done. The leather wasn't sewn together well in places. The white "trim" around the edges looked like someone had taken white fabric paint and made a not entirely straight line down them. Some of the white was chipped off already.	n/a	n/a	45-54	n/a	1	1
LGKR0036	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1253569/t-tech-by-tumi-digital-flashlight-clock.jsp?searchTerm=1253569	T-Tech by Tumi	T-Tech by Tumi Digital Flashlight Clock	1253569	1253569	34.99	2013-12-02 18:46:19	http://reviews.kohls.com/9025/1253569/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0034	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1194325/mcklein-verona-154-in-laptop-briefcase.jsp	McKlein	McKlein Verona 15.4-in. Laptop Briefcase	1194325	1194325	209.99	2013-12-02 18:46:19	http://reviews.kohls.com/9025/1194325/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0044	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1253597/t-tech-by-tumi-2-pc-luggage-tag-set.jsp	T-Tech by Tumi	T-Tech by Tumi 2-pc. Luggage Tag Set	1253597	1253597	24.99	2013-12-02 18:46:34	http://reviews.kohls.com/9025/1253597/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0042	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1253594/t-tech-by-tumi-luggage-strap.jsp	T-Tech by Tumi	T-Tech by Tumi Luggage Strap	1253594	1253594	24.99	2013-12-02 18:46:34	http://reviews.kohls.com/9025/1253594/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0043	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1253595/t-tech-by-tumi-luggage-tag.jsp	T-Tech by Tumi	T-Tech by Tumi Luggage Tag	1253595	1253595	22.99	2013-12-02 18:46:34	http://reviews.kohls.com/9025/1253595/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0041	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1253591/t-tech-by-tumi-convertible-undercover-stash.jsp	T-Tech by Tumi	T-Tech by Tumi Convertible Undercover Stash	1253591	1253591	39.99	2013-12-02 18:46:34	http://reviews.kohls.com/9025/1253591/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0050	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1253607/t-tech-by-tumi-knit-eye-shade.jsp	T-Tech by Tumi	T-Tech by Tumi Knit Eye Shade	1253607	1253607	24.99	2013-12-02 18:46:48	http://reviews.kohls.com/9025/1253607/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0052	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1253608/t-tech-by-tumi-memory-foam-neck-pillow.jsp?searchTerm=TUMI%20Memory%20Foam%20Neck%20Pillow%20-%20Black	n/a	n/a	1253608	1253608	n/a	2013-12-02 18:46:48	http://reviews.kohls.com/9025/1253608/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0051	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1253608/t-tech-by-tumi-memory-foam-neck-pillow.jsp	n/a	n/a	1253608	1253608	n/a	2013-12-02 18:46:48	http://reviews.kohls.com/9025/1253608/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0049	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1253604/t-tech-by-tumi-digital-luggage-scale.jsp	n/a	n/a	1253604	1253604	n/a	2013-12-02 18:46:48	http://reviews.kohls.com/9025/1253604/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0060	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1286468/solo-vector-173-in-laptop-messenger-bag.jsp	n/a	n/a	1286468	1286468	n/a	2013-12-02 18:47:03	http://reviews.kohls.com/9025/1286468/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0059	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1286465/solo-classic-17-in-laptop-messenger-bag.jsp	Solo	Solo Classic 17-in. Laptop Messenger Bag	1286465	1286465	59.99	2013-12-02 18:47:03	http://reviews.kohls.com/9025/1286465/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0057	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1286443/solo-classic-173-in-laptop-attache.jsp?searchTerm=Solo%20Classic%2017.3-in.%20Laptop%20Attache	n/a	n/a	1286443	1286443	n/a	2013-12-02 18:47:03	http://reviews.kohls.com/9025/1286443/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0058	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1286463/solo-classic-156-in-expandable-laptop-messenger-bag.jsp?searchTerm=Solo%20Classic%2015.6-in.%20Expandable%20Laptop%20Messenger%20Bag	Solo	Solo Classic 15.6-in. Expandable Laptop Messenger Bag	1286463	1286463	49.99	2013-12-02 18:47:03	http://reviews.kohls.com/9025/1286463/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0068	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1305857/rockland-2-pc-luggage-set.jsp?searchTerm=675478102275	Rockland	Rockland Luggage, 2-pc. Luggage Set	1305857	1305857	59.99	2013-12-02 18:47:16	http://reviews.kohls.com/9025/1305857/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0066	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1305855/rockland-2-pc-luggage-set.jsp?searchTerm=675478102510	Rockland	Rockland Luggage, 2-pc. Luggage Set	1305855	1305855	59.99	2013-12-02 18:47:16	http://reviews.kohls.com/9025/1305855/reviews.htm?format=embedded	If you are a below the age of 6 this will work.	03/04/2013	Tyrone	DBlakem	0	0	2	5	n/a	Way too small and cheap quality. Trust me when I say you get what you pay for.	n/a	n/a	18-24	n/a	1	1
LGKR0067	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1305857/rockland-2-pc-luggage-set.jsp?searchTerm=675478102039	Rockland	Rockland Luggage, 2-pc. Luggage Set	1305857	1305857	59.99	2013-12-02 18:47:16	http://reviews.kohls.com/9025/1305857/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0074	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1305865/rockland-2-pc-luggage-set.jsp?searchTerm=675478102244	Rockland	Rockland Luggage, 2-pc. Luggage Set	1305865	1305865	59.99	2013-12-02 18:47:27	http://reviews.kohls.com/9025/1305865/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0075	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1309394/rockland-2-pc-luggage-set.jsp?searchTerm=675478102367	Rockland	Rockland Luggage, 2-pc. Luggage Set	1309394	1309394	59.99	2013-12-02 18:47:27	http://reviews.kohls.com/9025/1309394/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0065	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1305855/rockland-2-pc-luggage-set.jsp	Rockland	Rockland Luggage, 2-pc. Luggage Set	1305855	1305855	59.99	2013-12-02 18:47:16	http://reviews.kohls.com/9025/1305855/reviews.htm?format=embedded	If you are a below the age of 6 this will work.	03/04/2013	Tyrone	DBlakem	0	0	2	5	n/a	Way too small and cheap quality. Trust me when I say you get what you pay for.	n/a	n/a	18-24	n/a	1	1
LGKR0076	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1309395/rockland-2-pc-luggage-set.jsp	Rockland	Rockland Luggage, 2-pc. Luggage Set	1309395	1309395	59.99	2013-12-02 18:47:27	http://reviews.kohls.com/9025/1309395/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0073	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1305865/rockland-2-pc-luggage-set.jsp	Rockland	Rockland Luggage, 2-pc. Luggage Set	1305865	1305865	59.99	2013-12-02 18:47:27	http://reviews.kohls.com/9025/1305865/reviews.htm?format=embedded	n/a	n/a	n/a	n/a	n/a	0	n/a	5	n/a	n/a	n/a	n/a	n/a	n/a	0	0
LGKR0082	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1309423/rockland-4-pc-luggage-set.jsp	Rockland	Rockland Luggage, 4-pc. Luggage Set	1309423	1309423	167.99	2013-12-02 18:47:40	http://reviews.kohls.com/9025/1309423/reviews.htm?format=embedded	Great value for the price	02/28/2013	Chula Vista	ChicaMex	0	0	4	5	n/a	Very stylish. Beautiful pattern and design. I think for the price this is an excellent set.So far I've only used the smaller of the "two wheeled uprights" (which is bigger than the carry-on). Loved the compartments and workable zippers. Wheels worked excellent when pulling it.The negative part of this one is that it didn't really stayed up on it's own. It kept tipping over.Storing them is easy because they all fit in the bigger one. (Like the nested russian dolls)	n/a	n/a	35-44	n/a	1	1
LGKR0084	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1309427/rockland-luggage-4-pc-luggage-set.jsp	Rockland	Rockland Luggage, 4-pc. Luggage Set	1309427	1309427	167.99	2013-12-02 18:47:40	http://reviews.kohls.com/9025/1309427/reviews.htm?format=embedded	n/a	03/16/2013	n/a	LifetimeCustomer1	0	0	5	5	n/a	n/a	n/a	n/a	25-34	n/a	1	1
LGKR0083	n/a	Kohls	n/a	n/a	n/a	n/a	n/a	http://www.kohls.com/product/prd-1309427/rockland-4-pc-luggage-set.jsp	Rockland	Rockland Luggage, 4-pc. Luggage Set	1309427	1309427	167.99	2013-12-02 18:47:40	http://reviews.kohls.com/9025/1309427/reviews.htm?format=embedded	n/a	03/16/2013	n/a	LifetimeCustomer1	0	0	5	5	n/a	n/a	n/a	n/a	25-34	n/a	1	1
